기간,지역,원자력,유연탄,무연탄,유류,LNG,양수,신재생,,,,,,,,기타,합계
,,,,,,,,연료전지,석탄가스화,태양,풍력,수력,해양,바이오,폐기물,,
2018/06,합계,60.04301175,83.60063754,96.25399243,199.72551606,111.08546725,115.10634281,88.7290722,0,93.4437121,97.8704585,100.003597,87.753841,89.1190117,102.7712496,89.09720729,86.89488597
2018/05,합계,55.35784803,79.06008739,93.54768682,165.27335979,101.45301897,106.00714406,86.7352682,86.865759,90.1977057,94.9564306,94.3036837,86.1605251,87.5123154,84.4298954,86.79882729,80.42395969
2018/04,합계,57.58065783,80.54125403,96.22307549,185.72356683,103.65891913,108.09594191,90.2556792,90.3854263,92.9296728,96.6900073,97.5972775,90.057801,90.7226994,85.8197623,90.26130673,83.92871967
2018/03,합계,67.52618931,92.18324856,108.98176248,151.84862681,124.37057211,131.41284595,100.9126106,100.9128858,102.5871053,106.959316,114.0962165,100.7062749,101.210552,87.4803743,100.96982033,98.68231102
2018/02,합계,64.04876615,88.23401635,105.69004032,152.83425533,122.61950791,135.62568489,89.3938541,88.728818,90.0812438,98.705369,110.8664641,88.4955692,90.0253186,101.4211196,89.14453715,95.10424298
2018/01,합계,68.10434226,91.88025867,110.41130748,142.56872246,126.07605105,142.25440449,91.4736381,91.5602452,93.6985842,101.877064,115.1818481,91.4174153,91.8578763,105.0588126,91.52002443,99.59004858
2017/12,합계,81.15629745,77.95783464,104.13831685,141.31774724,120.41701501,127.29431775,90.1736727,90.277143,92.6292434,97.8695739,110.894261,90.0512352,90.6022505,97.2772872,89.94503162,93.76153364
2017/11,합계,68.99004843,68.61094441,89.65545714,160.01095509,102.49845098,103.45697445,80.7356734,81.1495496,82.9513715,87.5330139,92.0234344,80.7730631,81.2613422,95.7284113,80.25223118,80.04898968
2017/10,합계,48.26462948,66.13798418,81.08652666,186.14461761,98.3971165,87.14363441,70.7971317,0,75.8617604,87.0269097,80.3674434,69.6441047,71.0843711,95.296046,71.58844607,68.75574717
2017/09,합계,52.29107606,71.08681296,84.88589136,211.58203423,108.88986555,100.93751421,71.6439784,72.136402,78.8528168,83.7433205,87.850294,70.677925,72.1193979,95.8904055,71.63096008,74.42505777
2017/08,합계,57.22600026,75.19273337,89.98391416,214.63498602,112.52939657,110.24358076,74.7529573,74.9131275,83.5173589,85.0458724,90.7314838,72.901429,75.5158122,96.3572046,74.80431934,81.17788294
2017/07,합계,57.70714582,75.20649474,90.11320595,178.19384914,108.7645395,110.97307769,75.1000989,71.0773168,83.8239372,82.033617,92.2976703,73.823237,75.7739645,96.5844731,75.24331375,81.3108728
2017/06,합계,59.36753472,83.95019676,93.79936799,196.32563218,108.03738119,105.1213857,81.6665311,82.527812,86.4791703,91.6492214,97.411108,79.8097421,82.1225134,96.8794675,81.56232358,83.995183
2017/05,합계,53.09978672,77.38179346,84.25130966,173.1844542,101.72408819,96.2247251,77.8975394,78.1390087,81.1705218,83.0064206,87.9884475,77.1242296,78.5063219,96.3549422,78.08648743,75.17539205
2017/04,합계,51.35821394,74.02539641,80.54925293,168.84565702,95.62229768,88.85466893,74.6075323,74.5921312,76.8812808,85.4003677,82.0109086,74.4498968,75.298629,95.5896172,74.5218832,72.13873888
2017/03,합계,65.93672016,91.00699191,109.20660436,233.32079014,120.71219186,116.04641072,91.4749455,91.6494092,93.6387798,102.888498,105.4990117,91.5142915,91.9017788,97.5862805,91.44779928,92.09822559
2017/02,합계,69.36297417,91.81196888,107.88637216,144.33163291,125.4562194,122.43741292,90.5821177,91.3095957,92.6141526,99.5005538,108.324932,90.4554927,91.0754414,97.463622,90.53474778,94.9731073
2017/01,합계,67.56692708,89.84607596,106.07631755,142.24645167,123.92757279,125.21180114,85.381833,88.1371249,85.4945169,92.117047,105.5122541,84.7493413,85.7141153,96.9134255,84.991933,93.11734016
2016/12,합계,95.45168566,92.62685039,106.89061086,125.47607843,125.20708278,137.74042891,86.5778114,87.0226804,88.4583974,91.8257149,103.6685012,86.8359684,86.9500902,97.0394883,86.48338253,102.28147267
2016/11,합계,79.44738993,77.11712542,87.2969689,123.07254124,97.27379093,104.1778228,74.7257742,74.6456558,76.5392877,81.7556224,87.268828,74.5689484,74.9259092,96.0513722,74.63527092,84.90745725
